Data;Casa Verde;Freguesia do Ó;Jaçanã / Tremembé;Vila Maria / Guilherme;Pirituba / Jaraguá;Perus;Santana;Aricanduva / Vila Formosa;Ermelino Matarazzo;Guaianazes;Itaquera;Itaim Paulista;Móoca;São Miguel Paulista;Penha;São Mateus; Cidade Tiradentes;Vila Prudente;Sapopemba;Consolação;Sé;Butantã;Lapa;Pinheiros;M Boi Mirim;Campo Limpo;Capela do Socorro;Ipiranga;Jabaquara;Santo Amaro;Vila Mariana;Parelheiros ;Cidade Ademar;Incidente
24/02/2024;4,5;3,9;5,6;26,7;1,5;4,6;9,4;3,1;4,7;8,1;3,5;2,7;8,6;1,4;10,1;21,0;18,6;4,5;5,4;25,5;13,9;4,3;3,7;10,3;20,1;18,1;17,1;13,3;13,6;10,7;15,4;13,7;19,2;1
25/02/2024;0,0;0,0;0,1;0,0;0,0;0,3;0,0;0,0;0,0;0,1;0,1;0,3;0,0;0,0;0,0;0,6;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,3;0,2;0,0;0,0;0,0;0,0;0,8;0,2;0
26/02/2024;0,2;0,1;2,0;0,5;0,0;0,2;1,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,2;0,1;0,0;0,0;0,0;0,0;1,2;0,0;0
27/02/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
28/02/2024;6,1;1,7;15,7;24,3;0,5;0,1;14,8;11,9;24,4;5,6;5,6;17,5;20,2;24,2;22,9;0,7;1,0;12,6;3,1;17,0;16,0;22,6;10,0;17,6;11,1;18,7;3,5;14,1;16,1;19,6;16,8;1,3;8,9;1
29/02/2024;0,0;0,1;0,0;0,2;0,6;0,2;0,0;0,2;0,0;0,1;0,3;0,0;0,0;0,0;0,0;0,8;0,4;0,5;0,9;0,0;0,1;0,5;0,1;0,3;2,3;2,5;1,7;0,6;1,0;1,8;0,1;0,7;2,6;0
01/03/2024;0,0;0,0;0,1;1,9;0,0;0,0;0,3;0,6;0,3;0,5;0,5;0,6;1,6;0,3;0,6;0,9;0,8;0,8;1,0;0,0;0,2;0,2;0,0;0,0;0,7;0,4;2,0;0,9;1,0;0,5;0,0;5,2;1,5;0
02/03/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
03/03/2024;0,3;0,1;3,8;0,9;0,0;0,0;1,6;0,0;11,7;7,2;2,9;2,7;0,0;11,7;2,7;0,4;2,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
04/03/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
05/03/2024;25,0;30,5;26,8;48,7;36,4;31,6;36,9;23,7;16,6;20,5;21,8;23,6;54,4;21,3;18,1;25,6;32,1;28,2;23,9;104,8;78,3;25,3;39,9;50,7;8,4;14,4;4,3;29,8;10,7;21,3;42,3;2,7;4,8;1
06/03/2024;18,3;18,9;9,5;7,7;10,6;13,7;13,0;5,9;2,3;0,7;2,9;1,1;5,9;1,7;3,9;5,2;4,4;2,9;4,3;5,0;6,9;3,3;5,0;3,7;1,4;2,1;8,8;2,2;2,4;2,3;2,2;34,5;4,2;1
07/03/2024;0,0;0,0;0,1;0,0;0,1;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,5;0,0;0,0;0,0;0,0;3,4;0,2;0
08/03/2024;16,3;13,1;12,3;36,9;10,4;12,5;22,2;26,8;32,8;6,0;22,7;9,5;21,2;15,8;37,2;17,5;6,3;29,7;31,3;31,3;24,2;8,9;9,9;17,3;25,7;22,9;19,6;26,1;26,7;27,4;22,2;29,7;25,8;1
09/03/2024;1,2;1,5;4,4;2,5;1,4;2,6;1,8;3,5;17,9;8,7;3,0;47,7;2,3;38,4;9,8;0,8;1,0;0,9;1,1;2,0;0,8;1,1;0,6;0,8;2,6;1,3;3,0;0,9;1,7;1,5;0,7;4,0;2,7;1
10/03/2024;9,0;14,1;26,3;12,7;18,2;12,1;16,9;1,9;4,0;5,4;6,2;10,4;2,0;6,2;3,3;3,6;4,1;2,0;4,4;1,6;3,1;2,8;7,0;4,1;3,0;1,5;2,2;0,7;1,9;5,7;2,3;2,4;1,6;1
11/03/2024;0,4;0,5;0,9;0,9;0,3;0,7;0,5;0,6;0,7;0,1;0,3;0,2;1,0;0,5;0,5;0,5;0,4;1,0;0,6;0,2;0,8;0,1;0,0;0,2;0,1;0,2;0,3;1,1;0,0;0,2;0,5;1,2;0,3;0
12/03/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
13/03/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
14/03/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
15/03/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
16/03/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
17/03/2024;0,3;0,6;2,2;0,0;0,2;0,4;0,2;0,6;25,2;27,2;44,3;35,9;0,1;32,8;12,2;10,6;24,8;2,5;2,5;0,0;0,0;0,0;0,0;0,0;0,8;0,1;8,6;2,8;0,0;0,1;0,3;15,3;0,8;1
18/03/2024;15,9;11,5;9,7;29,8;6,5;2,1;21,3;0,3;5,0;1,1;0,2;4,4;2,8;4,3;6,6;0,0;0,5;0,0;0,0;2,5;5,3;6,4;10,1;3,1;31,9;12,5;6,7;1,4;11,6;10,8;1,8;1,1;9,0;1
19/03/2024;11,2;9,4;11,6;24,7;3,7;1,7;16,6;0,8;11,4;0,4;0,3;5,9;11,3;5,8;14,1;0,0;0,0;0,3;0,0;6,8;8,7;10,2;8,4;15,5;2,4;8,5;0,3;0,4;0,6;6,2;4,4;0,2;0,2;0
20/03/2024;0,5;0,2;3,5;0,6;0,1;0,0;0,2;3,9;3,9;0,8;2,9;3,1;1,5;1,5;4,2;0,5;0,3;0,6;1,5;14,5;5,3;1,4;2,1;3,9;0,0;0,0;0,0;0,3;0,0;0,1;2,6;0,3;0,0;1
21/03/2024;1,2;2,1;0,0;0,3;2,7;0,5;0,4;0,3;0,0;4,7;5,2;6,4;0,1;2,3;0,1;7,5;10,4;0,5;4,6;1,3;1,2;1,2;2,7;2,6;1,1;1,3;1,4;1,8;1,3;1,0;2,4;23,9;0,2;0
22/03/2024;10,0;9,8;13,8;10,2;7,1;3,7;10,9;4,6;6,1;3,3;4,2;8,5;7,6;7,5;4,8;2,9;2,9;6,8;5,7;10,3;9,4;7,4;8,3;7,1;4,1;6,4;9,0;4,7;5,6;5,8;5,6;19,8;6,9;0
23/03/2024;13,4;13,2;20,1;16,8;10,8;12,8;14,8;11,1;27,7;11,5;17,0;24,6;11,9;30,0;21,1;10,1;14,6;11,7;9,0;14,0;12,9;7,6;10,0;9,9;4,3;4,6;6,6;8,3;5,7;5,8;8,6;10,5;5,8;1
24/03/2024;12,1;11,6;10,5;12,9;7,5;6,1;13,1;7,8;13,1;5,3;8,8;10,2;8,1;12,6;12,0;6,9;6,1;9,0;8,7;20,5;15,3;15,5;15,6;17,3;5,8;9,0;4,6;7,5;9,7;9,9;11,4;1,4;8,0;1
25/03/2024;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,6;0,6;0,0;0,1;0,0;0,0;7,3;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
26/03/2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,2;0,0;0,0;0,0;0,2;0,0;0
27/03/2024;2,5;3,1;4,1;3,3;2,5;2,9;3,1;1,3;3,4;1,2;2,0;2,8;1,3;3,2;2,5;1,3;1,4;0,8;1,2;1,3;1,3;1,3;1,6;1,3;0,6;0,9;0,5;0,9;1,9;1,0;1,0;0,4;1,2;0
28/03/2024;10,9;11,6;18,1;13,6;7,4;10,3;13,2;5,8;15,0;7,8;9,5;13,4;7,4;14,8;12,4;6,4;8,2;5,2;5,5;11,2;9,3;7,2;8,2;9,3;4,4;5,3;3,1;6,4;8,0;7,1;7,6;4,0;6,6;0
29/03/2024;0,1;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,2;0,0;0,0;0,0;0,2;0,1;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,1;0,0;0,1;0,4;0,0;0
